"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"75","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK+Vim-MUC1+","3","9","33.8193821624315","0.98",TRUE
"76","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK+Vim-MUC1-","4","1916","13.1275557729575","0",TRUE
"77","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK-Vim-MUC1-","5","446","62.7403083589459","1",TRUE
"78","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK-Vim+MUC1+","6","9","30.7448928749377","0.956",TRUE
"79","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK-Vim+MUC1-","7","765","40.9449632169759","1",TRUE
"80","lepidic_58.6","PanCK-Vim-MUC1-","5","446","PanCK-Vim-MUC1+","8","12","32.2821375186846","0.994",TRUE
"81","lepidic_58.6","PanCK-Vim-MUC1-","5","446","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","28.7346498792687","1",TRUE
"82","lepidic_58.6","PanCK-Vim-MUC1-","5","446","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"83","lepidic_58.6","PanCK-Vim-MUC1-","5","446","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","16.941063420884","0.424",FALSE
"84","lepidic_58.6","PanCK-Vim-MUC1-","5","446","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","15.4008481860831","0.05",TRUE
"85","lepidic_58.6","PanCK-Vim-MUC1-","5","446","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","25.714898033561","1",TRUE
"86","lepidic_58.6","PanCK-Vim-MUC1-","5","446","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","16.0026698265126","0.01",TRUE
"87","lepidic_58.6","PanCK-Vim-MUC1-","5","446","CD90+PDGFRb-PDPN-CAV1-","15","38","19.6605499173944","0.73",FALSE
"88","lepidic_58.6","PanCK-Vim-MUC1-","5","446","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"89","lepidic_58.6","PanCK-Vim-MUC1-","5","446","CD90-PDGFRb-PDPN+CAV1-","17","30","11.9905082212257","0.152",FALSE
"90","lepidic_58.6","PanCK-Vim-MUC1-","5","446","CD90-PDGFRb-PDPN-CAV1+","18","35","30.0421524663677","1",TRUE
"91","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK+Vim+MUC1+","1","15","0","0.002",TRUE
"92","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK+Vim+MUC1-","2","2198","1.87154989384289","0",TRUE
"93","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK+Vim-MUC1+","3","9","152.358024691358","0.992",TRUE
"94","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK+Vim-MUC1-","4","1916","7.15669218278822","0",TRUE
"95","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK-Vim-MUC1-","5","446","33.8193821624315","0.968",TRUE
"96","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK-Vim+MUC1+","6","9","342.805555555556","0.96",TRUE
"97","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK-Vim+MUC1-","7","765","37.641394335512","1",TRUE
"98","lepidic_58.6","PanCK-Vim+MUC1+","6","9","PanCK-Vim-MUC1+","8","12","342.805555555556","1",TRUE
"99","lepidic_58.6","PanCK-Vim+MUC1+","6","9","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","184.587606837607","1",TRUE
"100","lepidic_58.6","PanCK-Vim+MUC1+","6","9","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"101","lepidic_58.6","PanCK-Vim+MUC1+","6","9","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","18.6560846560847","0.516",FALSE
"102","lepidic_58.6","PanCK-Vim+MUC1+","6","9","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","0","0.002",TRUE
"103","lepidic_58.6","PanCK-Vim+MUC1+","6","9","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","43.6077738515901","0.994",TRUE
"104","lepidic_58.6","PanCK-Vim+MUC1+","6","9","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","13.2518932971629","0.086",FALSE
"105","lepidic_58.6","PanCK-Vim+MUC1+","6","9","CD90+PDGFRb-PDPN-CAV1-","15","38","0","0.002",TRUE
"106","lepidic_58.6","PanCK-Vim+MUC1+","6","9","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"107","lepidic_58.6","PanCK-Vim+MUC1+","6","9","CD90-PDGFRb-PDPN+CAV1-","17","30","91.4148148148148","0.944",FALSE
"108","lepidic_58.6","PanCK-Vim+MUC1+","6","9","CD90-PDGFRb-PDPN-CAV1+","18","35","0","0.002",TRUE
"109","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK+Vim+MUC1+","1","15","15.0565577342048","0.25",FALSE
"110","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK+Vim+MUC1-","2","2198","11.7210399234004","0",TRUE
"111","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK+Vim-MUC1+","3","9","14.3395787944808","0.26",FALSE
"112","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK+Vim-MUC1-","4","1916","10.0025297801793","0",TRUE
"113","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK-Vim-MUC1-","5","446","40.2215539728597","1",TRUE
"114","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK-Vim+MUC1+","6","9","37.641394335512","1",TRUE
"115","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK-Vim+MUC1-","7","765","69.5324111145331","1",TRUE
"116","lepidic_58.6","PanCK-Vim+MUC1-","7","765","PanCK-Vim-MUC1+","8","12","29.5753812636166","0.988",TRUE
"117","lepidic_58.6","PanCK-Vim+MUC1-","7","765","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","20.7854952237305","0.958",TRUE
"118","lepidic_58.6","PanCK-Vim+MUC1-","7","765","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"119","lepidic_58.6","PanCK-Vim+MUC1-","7","765","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","26.8318394024276","1",TRUE
"120","lepidic_58.6","PanCK-Vim+MUC1-","7","765","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","17.2124620748992","0.51",FALSE
"121","lepidic_58.6","PanCK-Vim+MUC1-","7","765","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","25.5376244255064","1",TRUE
"122","lepidic_58.6","PanCK-Vim+MUC1-","7","765","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","13.4077979241883","0",TRUE
"123","lepidic_58.6","PanCK-Vim+MUC1-","7","765","CD90+PDGFRb-PDPN-CAV1-","15","38","15.2829721362229","0.288",FALSE
"124","lepidic_58.6","PanCK-Vim+MUC1-","7","765","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"125","lepidic_58.6","PanCK-Vim+MUC1-","7","765","CD90-PDGFRb-PDPN+CAV1-","17","30","11.8301525054466","0.048",TRUE
"126","lepidic_58.6","PanCK-Vim+MUC1-","7","765","CD90-PDGFRb-PDPN-CAV1+","18","35","32.2640522875817","1",TRUE
"127","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK+Vim+MUC1+","1","15","0","0.002",TRUE
"128","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK+Vim+MUC1-","2","2198","5.14676220806794","0",TRUE
"129","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK+Vim-MUC1+","3","9","0","0.002",TRUE
"130","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK+Vim-MUC1-","4","1916","6.4410229645094","0",TRUE
"131","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK-Vim-MUC1-","5","446","34.5880044843049","0.996",TRUE
"132","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK-Vim+MUC1+","6","9","342.805555555556","1",TRUE
"133","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK-Vim+MUC1-","7","765","33.6083877995643","1",TRUE
"134","lepidic_58.6","PanCK-Vim-MUC1+","8","12","PanCK-Vim-MUC1+","8","12","747.939393939394","1",TRUE
