"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"64","TAFs1","PanCK+Vim-MUC1-","4","358","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","41","25.6480446927374","0.99",TRUE
"65","TAFs1","PanCK+Vim-MUC1-","4","358","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","59","7.39011457248367","0",TRUE
"66","TAFs1","PanCK+Vim-MUC1-","4","358","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","255","7.74470369153248","0",TRUE
"67","TAFs1","PanCK+Vim-MUC1-","4","358","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","14","2.74800478850758","0",TRUE
"68","TAFs1","PanCK+Vim-MUC1-","4","358","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","72","10.3304624456859","0",TRUE
"69","TAFs1","PanCK+Vim-MUC1-","4","358","CD90+PDGFRb-PDPN-CAV1-","15","358","21.0270980930683","0.896",FALSE
"70","TAFs1","PanCK+Vim-MUC1-","4","358","CD90-PDGFRb+PDPN-CAV1-","16","145","23.8792140242728","1",TRUE
"71","TAFs1","PanCK+Vim-MUC1-","4","358","CD90-PDGFRb-PDPN+CAV1-","17","482","22.7480064442848","1",TRUE
"72","TAFs1","PanCK+Vim-MUC1-","4","358","CD90-PDGFRb-PDPN-CAV1+","18","107","28.6443115960946","1",TRUE
"73","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK+Vim+MUC1+","1","69","17.4689720776677","0.082",FALSE
"74","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK+Vim+MUC1-","2","65","14.3170478170478","0",TRUE
"75","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK+Vim-MUC1+","3","955","18.0414077503083","0",TRUE
"76","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK+Vim-MUC1-","4","358","17.4535439270076","0",TRUE
"77","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK-Vim-MUC1-","5","518","51.2061604295647","1",TRUE
"78","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK-Vim+MUC1+","6","12","15.5101351351351","0.154",FALSE
"79","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK-Vim+MUC1-","7","170","18.1429479900068","0.044",TRUE
"80","TAFs1","PanCK-Vim-MUC1-","5","518","PanCK-Vim-MUC1+","8","105","34.016786173929","1",TRUE
"81","TAFs1","PanCK-Vim-MUC1-","5","518","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","807","8.05022414873716","0",TRUE
"82","TAFs1","PanCK-Vim-MUC1-","5","518","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","41","16.6450230718523","0.078",FALSE
"83","TAFs1","PanCK-Vim-MUC1-","5","518","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","59","9.91446894836725","0",TRUE
"84","TAFs1","PanCK-Vim-MUC1-","5","518","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","255","13.7983723219017","0",TRUE
"85","TAFs1","PanCK-Vim-MUC1-","5","518","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","14","5.69760066188638","0",TRUE
"86","TAFs1","PanCK-Vim-MUC1-","5","518","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","72","11.4479568854569","0",TRUE
"87","TAFs1","PanCK-Vim-MUC1-","5","518","CD90+PDGFRb-PDPN-CAV1-","15","358","19.1370063199672","0.114",FALSE
"88","TAFs1","PanCK-Vim-MUC1-","5","518","CD90-PDGFRb+PDPN-CAV1-","16","145","20.8431766742112","0.764",FALSE
"89","TAFs1","PanCK-Vim-MUC1-","5","518","CD90-PDGFRb-PDPN+CAV1-","17","482","18.8291385635784","0.016",TRUE
