"","Cell_A","Cell_B","TAFs1"
"134","PanCK-Vim-MUC1+","PanCK-Vim-MUC1+",2.8043449843208
"135","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.72000212397026
"136","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.881736810994563
"137","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.487152756215973
"138","PanCK-Vim-MUC1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.14311822791991
"139","PanCK-Vim-MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",0.301193645605298
"140","PanCK-Vim-MUC1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.5932763103073
"141","PanCK-Vim-MUC1+","CD90+PDGFRb-PDPN-CAV1-",-0.270689690577184
"142","PanCK-Vim-MUC1+","CD90-PDGFRb+PDPN-CAV1-",-0.73241608122704
"143","PanCK-Vim-MUC1+","CD90-PDGFRb-PDPN+CAV1-",-0.157382007218494
"144","PanCK-Vim-MUC1+","CD90-PDGFRb-PDPN-CAV1+",-0.612781885669884
"145","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim+MUC1+",-0.281465590442722
"146","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim+MUC1-",-0.754220083075486
"147","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim-MUC1+",-0.604636814385001
"148","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK+Vim-MUC1-",-1.00983450591975
"149","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim-MUC1-",-0.771027961793735
"150","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim+MUC1+",0.038628597277384
"151","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim+MUC1-",0.225345062226166
"152","aSMA+CD90+PDGFRb+PDPN+CAV1+","PanCK-Vim-MUC1+",-0.616552480163766
"153","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",2.8043449843208
"154","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.229247106400417
"155","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",0.877330511753781
"156","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",0.149380568881988
"157","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",1.94382620404703
"158","aSMA+CD90+PDGFRb+PDPN+CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",1.01421621039698
"159","aSMA+CD90+PDGFRb+PDPN+CAV1+","CD90+PDGFRb-PDPN-CAV1-",-1.00275485152517
"160","aSMA+CD90+PDGFRb+PDPN+CAV1+","CD90-PDGFRb+PDPN-CAV1-",-0.7845689706219
"161","aSMA+CD90+PDGFRb+PDPN+CAV1+","CD90-PDGFRb-PDPN+CAV1-",-1.02906330048759
"162","aSMA+CD90+PDGFRb+PDPN+CAV1+","CD90-PDGFRb-PDPN-CAV1+",-1.05887221886911
"163","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK+Vim+MUC1+",-0.256124267304545
"164","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK+Vim+MUC1-",-0.850410783770607
"165","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK+Vim-MUC1+",-0.259152521245152
"166","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK+Vim-MUC1-",0.622087501494008
"167","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK-Vim-MUC1-",-0.0507504401752997
"168","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK-Vim+MUC1+",-1.28897516490599
"169","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK-Vim+MUC1-",-0.660151236072168
"170","aSMA+CD90+PDGFRb-PDPN+CAV1+","PanCK-Vim-MUC1+",-0.203006221142183
"171","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",-0.140936434858282
"172","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",2.8043449843208
"173","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.443437904666161
"174","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.422595529623834
"175","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.270879280127421
"176","aSMA+CD90+PDGFRb-PDPN+CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",-0.00221508831085191
"177","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90+PDGFRb-PDPN-CAV1-",0.0049735154690088
"178","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90-PDGFRb+PDPN-CAV1-",-0.944928969360129
"179","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90-PDGFRb-PDPN+CAV1-",0.0417310745348807
"180","aSMA+CD90+PDGFRb-PDPN+CAV1+","CD90-PDGFRb-PDPN-CAV1+",-0.423117917103654
"181","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1+",-0.355908167581293
"182","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1-",-0.527062468865708
"183","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1+",-0.661494185392185
"184","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1-",-0.707963527981415
"185","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1-",-0.638848887589761
"186","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1+",1.18724109722494
"187","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1-",0.546338064673406
"188","aSMA+CD90+PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1+",-0.534318780256562
"189","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",0.607309407580889
"190","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.564228941843279
"191","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",2.8043449843208
"192","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",2.20685955810238
"193","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.581484804297151
"194","aSMA+CD90+PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",2.28778165817202
"195","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90+PDGFRb-PDPN-CAV1-",-1.06763739845853
"196","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90-PDGFRb+PDPN-CAV1-",-0.708345144820118
"197","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN+CAV1-",-0.970457720399523
"198","aSMA+CD90+PDGFRb-PDPN-CAV1+","CD90-PDGFRb-PDPN-CAV1+",-1.05755308433301
"199","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1+",-0.408824184322485
"200","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim+MUC1-",-0.425175320101103
"201","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1+",-0.737044074839399
"202","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK+Vim-MUC1-",-0.796064638939913
"203","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1-",-0.424052264594106
"204","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1+",2.8043449843208
"205","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim+MUC1-",0.490473254884152
"206","aSMA+CD90+PDGFRb-PDPN-CAV1-","PanCK-Vim-MUC1+",-0.0558148422447813
"207","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb+PDPN+CAV1+",0.19907696639687
"208","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.646177370986975
"209","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1+",2.42049390228622
"210","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90+PDGFRb-PDPN-CAV1-",2.8043449843208
"211","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1+",-0.224965151990351
"212","aSMA+CD90+PDGFRb-PDPN-CAV1-","aSMA+CD90-PDGFRb-PDPN-CAV1-",1.55975249787884
"213","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90+PDGFRb-PDPN-CAV1-",-0.341562725386774
"214","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb+PDPN-CAV1-",-0.822729928477174
"215","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN+CAV1-",-0.628086724071699
"216","aSMA+CD90+PDGFRb-PDPN-CAV1-","CD90-PDGFRb-PDPN-CAV1+",-0.560767018036335
"217","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1+",-0.986497402036995
"218","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim+MUC1-",-0.646791606814892
"219","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1+",0.022289691929235
"220","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK+Vim-MUC1-",-0.99748123141492
"221","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1-",-0.80547789143972
"222","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1+",2.8043449843208
"223","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim+MUC1-",-0.0612713038494764
"224","aSMA+CD90-PDGFRb-PDPN-CAV1+","PanCK-Vim-MUC1+",0.897506949547036
"225","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb+PDPN+CAV1+",1.78865173833729
"226","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN+CAV1+",-0.779927222516706
"227","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1+",-0.581484804297151
"228","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90+PDGFRb-PDPN-CAV1-",-0.224965151990351
"229","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1+",2.8043449843208
"230","aSMA+CD90-PDGFRb-PDPN-CAV1+","aSMA+CD90-PDGFRb-PDPN-CAV1-",2.8043449843208
"231","aSMA+CD90-PDGFRb-PDPN-CAV1+","CD90+PDGFRb-PDPN-CAV1-",-1.05578001811313
